Price,QTY,Bids or Asks
0.00251540,275.31000000,bids
0.00251470,289.77000000,bids
0.00251460,0.36000000,bids
0.00251440,1.92000000,bids
0.00251370,278.00000000,bids
0.00251360,39.77000000,bids
0.00251350,79.53000000,bids
0.00251340,26.00000000,bids
0.00251330,100.00000000,bids
0.00251320,10.11000000,bids
0.00251300,2.56000000,bids
0.00251290,44.13000000,bids
0.00251280,128.71000000,bids
0.00251270,55.05000000,bids
0.00251260,72.00000000,bids
0.00251220,0.68000000,bids
0.00251190,0.77000000,bids
0.00251180,31.73000000,bids
0.00251170,373.21000000,bids
0.00251160,127.24000000,bids
0.00251150,39.45000000,bids
0.00251140,127.33000000,bids
0.00251110,20.88000000,bids
0.00251100,164.43000000,bids
0.00251090,37.33000000,bids
0.00251080,0.43000000,bids
0.00251060,53.14000000,bids
0.00251050,39.75000000,bids
0.00251040,331.25000000,bids
0.00251030,145.28000000,bids
0.00251020,58.01000000,bids
0.00251010,66.38000000,bids
0.00250980,72.63000000,bids
0.00250950,225.23000000,bids
0.00250940,30.00000000,bids
0.00250920,98.00000000,bids
0.00250860,174.14000000,bids
0.00250850,131.18000000,bids
0.00250820,6.09000000,bids
0.00250770,72.60000000,bids
0.00250760,0.95000000,bids
0.00250740,172.60000000,bids
0.00250710,0.44000000,bids
0.00250700,2.17000000,bids
0.00250680,0.73000000,bids
0.00250660,11.00000000,bids
0.00250650,2.91000000,bids
0.00250640,219.50000000,bids
0.00250630,0.78000000,bids
0.00250610,400.00000000,bids
0.00250580,1.18000000,bids
0.00250570,0.65000000,bids
0.00250550,0.10000000,bids
0.00250530,0.42000000,bids
0.00250520,0.39000000,bids
0.00250500,0.04000000,bids
0.00250480,2.35000000,bids
0.00250470,0.74000000,bids
0.00250450,1.42000000,bids
0.00250430,2.90000000,bids
0.00250420,3.65000000,bids
0.00250390,0.05000000,bids
0.00250370,0.20000000,bids
0.00250360,1.74000000,bids
0.00250340,68.35000000,bids
0.00250330,1698.30000000,bids
0.00250320,2.02000000,bids
0.00250310,3.00000000,bids
0.00250290,0.29000000,bids
0.00250270,0.94000000,bids
0.00250260,1.00000000,bids
0.00250250,0.75000000,bids
0.00250240,0.16000000,bids
0.00250220,3.44000000,bids
0.00250210,2.40000000,bids
0.00250200,1.28000000,bids
0.00250190,0.69000000,bids
0.00250170,0.49000000,bids
0.00250160,1.50000000,bids
0.00250130,0.43000000,bids
0.00250120,5.63000000,bids
0.00250100,4.70000000,bids
0.00250090,2.70000000,bids
0.00250070,0.99000000,bids
0.00250060,163.25000000,bids
0.00250050,3.30000000,bids
0.00250040,0.08000000,bids
0.00250030,0.81000000,bids
0.00250020,1.00000000,bids
0.00250010,31.62000000,bids
0.00250000,43.30000000,bids
0.00249990,1.20000000,bids
0.00249980,3.14000000,bids
0.00249970,0.30000000,bids
0.00249960,2.08000000,bids
0.00249950,0.66000000,bids
0.00249940,0.51000000,bids
0.00249930,200.05000000,bids
0.00249920,2115.10000000,bids
0.00249910,0.12000000,bids
0.00251550,2.51000000,asks
0.00251570,56.20000000,asks
0.00251580,54.02000000,asks
0.00251590,52.35000000,asks
0.00251600,38.46000000,asks
0.00251610,37.67000000,asks
0.00251620,71.83000000,asks
0.00251630,105.96000000,asks
0.00251640,269.55000000,asks
0.00251650,2.14000000,asks
0.00251660,4.81000000,asks
0.00251670,73.45000000,asks
0.00251680,21.98000000,asks
0.00251690,73.95000000,asks
0.00251700,2.00000000,asks
0.00251710,38.10000000,asks
0.00251720,113.07000000,asks
0.00251730,69.90000000,asks
0.00251740,58.64000000,asks
0.00251750,4.85000000,asks
0.00251760,161.80000000,asks
0.00251770,0.21000000,asks
0.00251780,4.29000000,asks
0.00251800,297.06000000,asks
0.00251810,1.96000000,asks
0.00251820,76.11000000,asks
0.00251830,5.47000000,asks
0.00251840,135.69000000,asks
0.00251850,176.99000000,asks
0.00251860,9.47000000,asks
0.00251870,0.04000000,asks
0.00251880,0.72000000,asks
0.00251890,52.04000000,asks
0.00251900,2.86000000,asks
0.00251910,0.88000000,asks
0.00251920,185.94000000,asks
0.00251930,1.97000000,asks
0.00251940,1.32000000,asks
0.00251950,120.48000000,asks
0.00251960,0.11000000,asks
0.00251970,1.15000000,asks
0.00251980,3.16000000,asks
0.00251990,0.78000000,asks
0.00252000,85.46000000,asks
0.00252010,1.21000000,asks
0.00252020,2.76000000,asks
0.00252030,178.46000000,asks
0.00252040,175.42000000,asks
0.00252050,1.68000000,asks
0.00252060,1.36000000,asks
0.00252070,1.56000000,asks
0.00252080,0.09000000,asks
0.00252090,0.17000000,asks
0.00252100,6.27000000,asks
0.00252110,0.44000000,asks
0.00252120,3.36000000,asks
0.00252130,10.07000000,asks
0.00252140,1.11000000,asks
0.00252150,1.65000000,asks
0.00252160,5.71000000,asks
0.00252170,16.05000000,asks
0.00252180,0.54000000,asks
0.00252190,2.00000000,asks
0.00252200,138.12000000,asks
0.00252210,0.11000000,asks
0.00252220,11.18000000,asks
0.00252230,115.43000000,asks
0.00252240,400.52000000,asks
0.00252250,1.89000000,asks
0.00252260,222.29000000,asks
0.00252270,1.47000000,asks
0.00252280,3.00000000,asks
0.00252290,0.14000000,asks
0.00252300,5.24000000,asks
0.00252310,0.24000000,asks
0.00252320,278.80000000,asks
0.00252330,0.12000000,asks
0.00252340,5.41000000,asks
0.00252350,7.03000000,asks
0.00252360,2.53000000,asks
0.00252370,3.32000000,asks
0.00252380,1.74000000,asks
0.00252390,29.91000000,asks
0.00252400,1.08000000,asks
0.00252410,0.45000000,asks
0.00252420,1.07000000,asks
0.00252430,1.00000000,asks
0.00252440,1.56000000,asks
0.00252450,4.96000000,asks
0.00252460,2.69000000,asks
0.00252470,16.24000000,asks
0.00252480,0.50000000,asks
0.00252490,2.82000000,asks
0.00252500,49.19000000,asks
0.00252510,4.39000000,asks
0.00252520,13.13000000,asks
0.00252530,13.30000000,asks
0.00252540,0.25000000,asks
0.00252550,36.95000000,asks
0.00252560,1.99000000,asks
